matchup,game_id,red_agent,yellow_agent,winner_value,winner_name,illegal_by,red_time,yellow_time,turns
Group C Luis - TacticalExpectimax vs Group A Santiago - MinimaxAlphaBeta,17,Group C Luis - TacticalExpectimax,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,8.101759910583496,4.342999458312988,36
Group C Luis - TacticalExpectimax vs Group A Santiago - MinimaxAlphaBeta,18,Group C Luis - TacticalExpectimax,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,8.001355648040771,4.354785203933716,36
Group C Luis - TacticalExpectimax vs Group A Santiago - MinimaxAlphaBeta,19,Group C Luis - TacticalExpectimax,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,8.040849208831787,4.360633611679077,36
Group C Luis - TacticalExpectimax vs Group A Santiago - MinimaxAlphaBeta,20,Group C Luis - TacticalExpectimax,Group A Santiago - MinimaxAlphaBeta,1,Group A Santiago - MinimaxAlphaBeta,,8.014083862304688,4.314226388931274,36
Group A Santiago - MinimaxAlphaBeta vs RandomPolicy,1,Group A Santiago - MinimaxAlphaBeta,RandomPolicy,-1,Group A Santiago - MinimaxAlphaBeta,,2.640021324157715,4.482269287109375e-05,13
Group A Santiago - MinimaxAlphaBeta vs RandomPolicy,2,Group A Santiago - MinimaxAlphaBeta,RandomPolicy,-1,Group A Santiago - MinimaxAlphaBeta,,0.7047502994537354,2.8133392333984375e-05,9
Group A Santiago - MinimaxAlphaBeta vs RandomPolicy,3,Group A Santiago - MinimaxAlphaBeta,RandomPolicy,-1,Group A Santiago - MinimaxAlphaBeta,,1.9023945331573486,3.528594970703125e-05,11
Group A Santiago - MinimaxAlphaBeta vs RandomPolicy,4,Group A Santiago - MinimaxAlphaBeta,RandomPolicy,-1,Group A Santiago - MinimaxAlphaBeta,,1.3798627853393555,2.5987625122070312e-05,9
Group A Santiago - MinimaxAlphaBeta vs RandomPolicy,5,Group A Santiago - MinimaxAlphaBeta,RandomPolicy,-1,Group A Santiago - MinimaxAlphaBeta,,0.4470529556274414,1.8358230590820312e-05,7
Group A Santiago - MinimaxAlphaBeta vs RandomPolicy,6,Group A Santiago - MinimaxAlphaBeta,RandomPolicy,-1,Group A Santiago - MinimaxAlphaBeta,,1.2580516338348389,2.6464462280273438e-05,9
Group A Santiago - MinimaxAlphaBeta vs RandomPolicy,7,Group A Santiago - MinimaxAlphaBeta,RandomPolicy,-1,Group A Santiago - MinimaxAlphaBeta,,0.788454532623291,3.170967102050781e-05,11
Group A Santiago - MinimaxAlphaBeta vs RandomPolicy,8,Group A Santiago - MinimaxAlphaBeta,RandomPolicy,-1,Group A Santiago - MinimaxAlphaBeta,,0.650834321975708,2.5272369384765625e-05,9
